ppid;time;accuracy
p11;100; 
p11;220;2,11777094647771
p11;370;4,05876118319002
p11;557;4,05876118319002
p11;800;2,24363560465632
p11;1200;2,66454569264524
p11;2000;2,85074838674888
p12;100;-,0702909684713415
p12;220;1,0282044624088
p12;370;1,93976308270217
p12;557;3,16796910761376
p12;800;2,61672930166354
p12;1200;2,66454569264524
p12;2000;4,05876118319002
p13;100;-,167131483376833
p13;220;2,16314060844464
p13;370;3,06759104526812
p13;557;3,11540743624982
p13;800;4,05876118319002
p13;1200;3,11540743624982
p13;2000;4,05876118319002
p14;100; 
p14;220;2,79998383302732
p14;370;2,12317279911751
p14;557;2,71817186321957
p14;800;3,70934200114148
p14;1200;2,76598825420128
p14;2000;2,24363560465632
p15;100;3,46370361268452
p15;220;,450861743604581
p15;370;1,68393343163598
p15;557;4,05876118319002
p15;800;2,29145199563802
p15;1200;2,69983487525088
p15;2000;3,06759104526812
p16;100;-,674489750196082
p16;220; 
p16;370;3,54698822288819
p16;557;1,71227886484006
p16;800;2,57969497717664
p16;1200;3,29376944014254
p16;2000;2,85074838674888
p17;100;,477730569241928
p17;220;2,00966748631502
p17;370;3,70934200114148
p17;557;2,05748387729672
p17;800;3,70934200114148
p17;1200;3,60789943958544
p17;2000;3,16796910761376
p18;100;,312182480309964
p18;220;0
p18;370;1,87587943463909
p18;557;4,05876118319002
p18;800;2,00966748631502
p18;1200;1,81691573707477
p18;2000;4,05876118319002
p19;100;-,0668366349644706
p19;220;,143748194750998
p19;370;,430727299295457
p19;557;,908457868537386
p19;800;3,16796910761376
p19;1200;2,22461536067355
p19;2000;2,61672930166354
p22;100;,546150598651268
p22;220;,524400512708041
p22;370;1,53927971281172
p22;557;1,93976308270217
p22;800;3,60789943958544
p22;1200;2,35041569320234
p22;2000;2,17679896969185
p23;100;2,33587565011857
p23;220;,841621233572914
p23;370;1,38299412710064
p23;557;2,35041569320234
p23;800;1,87587943463909
p23;1200;2,40690305934526
p23;2000;4,05876118319002
p24;100;-,101442561556038
p24;220;,464061355948157
p24;370;1,54560613036686
p24;557;1,76590503541439
p24;800;3,70934200114148
p24;1200;3,66152561015978
p24;2000;3,66152561015978
p25;100;-,410893934277457
p25;220;,175644817190997
p25;370;,884918144444006
p25;557;1,27234853286837
p25;800;2,57969497717664
p25;1200;1,39573685986603
p25;2000;3,16796910761376
p26;100;,397235573030246
p26;220;,810777223410895
p26;370;,967421566101702
p26;557;2,25681382185722
p26;800;3,70934200114148
p26;1200;3,66152561015978
p26;2000;3,29376944014254
p27;100;,560304455874654
p27;220;,139161808814372
p27;370;2,7570751733363
p27;557;2,32634787404084
p27;800;1,87587943463909
p27;1200;4,05876118319002
p27;2000;2,22461536067355
p28;100;2,69871186963704
p28;220;,660687985922855
p28;370;1,85957824882698
p28;557;3,06759104526812
p28;800;2,71817186321957
p28;1200;2,49712298293557
p28;2000;3,54698822288819
p29;100;,234570401195616
p29;220;1,19546743723707
p29;370;1,02324544571313
p29;557;1,90739463980868
p29;800;,815013740831162
p29;1200;1,73213123988809
p29;2000;2,64087117768657
p30;100; 
p30;220; 
p30;370;2,09988740990532
p30;557;3,06759104526812
p30;800;3,11540743624982
p30;1200;4,05876118319002
p30;2000;4,05876118319002
p31;100;,927836853331882
p31;220;,394156952335313
p31;370;2,35041569320234
p31;557;2,67510356955788
p31;800;2,69983487525088
p31;1200;3,01396487469378
p31;2000;3,29376944014254
p32;100;,745961191725568
p32;220;3,29376944014254
p32;370;2,53677626828877
p32;557;4,05876118319002
p32;800;3,66152561015978
p32;1200;3,16796910761376
p32;2000;3,66152561015978
p33;100;-,362836219518464
p33;220;,0699044036128444
p33;370;1,58852483925474
p33;557;4,05876118319002
p33;800;3,23480574257823
p33;1200;3,66152561015978
p33;2000;3,16796910761376
p34;100; 
p34;220; 
p34;370;1,74504086155539
p34;557;2,67510356955788
p34;800;3,16796910761376
p34;1200;3,00083762423692
p34;2000;4,05876118319002
p35;100;,66484278527104
p35;220;1,47906620601338
p35;370;1,59270301026732
p35;557;1,59342252134856
p35;800;2,40690305934526
p35;1200;2,04626123933099
p35;2000;2,12909821738474
p36;100;-,993129114160457
p36;220;-,0733347333430945
p36;370;2,50219191439195
p36;557;4,05876118319002
p36;800;4,05876118319002
p36;1200;4,05876118319002
p36;2000;2,35041569320234
p37;100;,430727299295457
p37;220;,955127812003499
p37;370;1,98757947368387
p37;557;1,10521704949154
p37;800;3,70934200114148
p37;1200;2,18806191494905
p37;2000;2,19000943408199
p38;100;1,43919942398247
p38;220;1,10521704949154
p38;370;3,70934200114148
p38;557;4,05876118319002
p38;800;3,70934200114148
p38;1200;4,05876118319002
p38;2000;3,66152561015978
p39;100;-1,16736627122317
p39;220;-,477730569241928
p39;370;2,05748387729672
p39;557;2,22461536067355
p39;800;1,59342252134856
p39;1200;4,05876118319002
p39;2000;3,29376944014254
p40;100;,349419182048543
p40;220;1,38299412710064
p40;370;1,8137214263961
p40;557;1,98576041228498
p40;800;3,70934200114148
p40;1200;3,60789943958544
p40;2000;3,54698822288819
p41;100;,854502119988787
p41;220;1,59158000465347
p41;370;3,23480574257823
p41;557;,815013740831162
p41;800;1,16736627122317
p41;1200;2,85074838674888
p41;2000;1,87587943463909
p42;100;-,220298905047533
p42;220;,303872521954148
p42;370;,255829651066193
p42;557;3,23480574257823
p42;800;3,66152561015978
p42;1200;3,29376944014254
p42;2000;3,06759104526812
p43;100;3,46370361268452
p43;220;3,46370361268452
p43;370;2,93093322062408
p43;557;3,16796910761376
p43;800;3,70934200114148
p43;1200;4,05876118319002
p43;2000;1,80904279967462
p44;100;-,240309161078346
p44;220;-,488465994398906
p44;370;1,02264316285881
p44;557;3,66152561015978
p44;800;3,29376944014254
p44;1200;2,66454569264524
p44;2000;4,05876118319002
p45;100;-,458349662846237
p45;220;,477730569241928
p45;370;2,05748387729672
p45;557;1,73174982261768
p45;800;2,35041569320234
p45;1200;3,00083762423692
p45;2000;3,66152561015978
p46;100;-,584697303993682
p46;220;,749366663259833
p46;370;1,25721356405443
p46;557;1,19037692908996
p46;800;2,2489731316463
p46;1200;2,22461536067355
p46;2000;2,71817186321957
p47;100;,253218782745648
p47;220;1,0282044624088
p47;370;3,66152561015978
p47;557;3,11540743624982
p47;800;3,66152561015978
p47;1200;3,00083762423692
p47;2000;2,88276268952519
p48;100;-,426719867581552
p48;220;-,841621233572914
p48;370;1,03531264587869
p48;557;1,82522569543059
p48;800;2,95305365799653
p48;1200;4,05876118319002
p48;2000;4,05876118319002
p49;100;,279420597763724
p49;220;-,462940989838472
p49;370;,674489750196082
p49;557;2,40690305934526
p49;800;3,70934200114148
p49;1200;3,23480574257823
p49;2000;3,54698822288819
p50;100;-1,54560613036686
p50;220;,0962430999264967
p50;370;,674489750196082
p50;557;2,7570751733363
p50;800;2,2489731316463
p50;1200;2,30259930222064
p50;2000;3,06759104526812
p51;100;0
p51;220;1,0579235589531
p51;370;1,38365761363214
p51;557;2,29145199563802
p51;800;4,05876118319002
p51;1200;3,11540743624982
p51;2000;2,76598825420128
p52;100;,279420597763724
p52;220;1,08847023833009
p52;370;,234570401195616
p52;557;2,24363560465632
p52;800;3,11540743624982
p52;1200;1,95604131574068
p52;2000;2,40690305934526
p53;100;-,715602743611738
p53;220;2,16201760283079
p53;370;1,55240093935648
p53;557;1,2815515655446
p53;800;1,31617726161875
p53;1200;2,66454569264524
p53;2000;2,5631031310892
p54;100;,524400512708041
p54;220;,524400512708041
p54;370;,981331532454776
p54;557;1,33918516783284
p54;800;2,71817186321957
p54;1200;3,70934200114148
p54;2000;2,93093322062408
p55;100; 
p55;220;-,0769115597865275
p55;370;1,19889026290412
p55;557;1,68393343163598
p55;800;2,30259930222064
p55;1200;3,16796910761376
p55;2000;3,66152561015978
p56;100;2,5740345427221
p56;220;,477730569241928
p56;370;2,76598825420128
p56;557;,764709673786387
p56;800;,749366663259833
p56;1200;1,22064034884735
p56;2000;2,50219191439195
p57;100;-,72844549874468
p57;220;,953341042100282
p57;370;3,11540743624982
p57;557;2,09988740990532
p57;800;2,17679896969185
p57;1200;2,67035547223787
p57;2000;3,54698822288819
p58;100;0
p58;220;,325734054679037
p58;370;0
p58;557;1,64191131629778
p58;800;1,81691573707477
p58;1200;2,30259930222064
p58;2000;1,22709723250176
p59;100;,778408780517401
p59;220;,756993171853777
p59;370;-,536694266806244
p59;557;1,27907509677932
p59;800;2,67510356955788
p59;1200;1,08160686042313
p59;2000;1,57200691268494
p60;100;,787409196308996
p60;220;2,8922966959737
p60;370;2,61672930166354
p60;557;2,40690305934526
p60;800;2,71817186321957
p60;1200;4,05876118319002
p60;2000;3,06759104526812
p61;100;-,887558154085436
p61;220;,904450436823479
p61;370;1,19543697308184
p61;557;2,69983487525088
p61;800;4,05876118319002
p61;1200;3,16796910761376
p61;2000;3,06759104526812
p62;100;-,379019115274435
p62;220;1,44936303044036
p62;370;1,90739463980868
p62;557;3,66152561015978
p62;800;4,05876118319002
p62;1200;3,60789943958544
p62;2000;2,61672930166354
p63;100;,108540928263218
p63;220;,705659120814725
p63;370;1,71227886484006
p63;557;2,93093322062408
p63;800;2,19000943408199
p63;1200;1,2207686692375
p63;2000;3,16796910761376
p64;100;2,49599997732172
p64;220;,474536258563254
p64;370;1,03423843158359
p64;557;1,81372142639609
p64;800;2,40690305934526
p64;1200;2,22461536067355
p64;2000;1,87587943463909
p65;100;1,16180497167318
p65;220;1,10521704949154
p65;370;2,32634787404084
p65;557;3,29376944014254
p65;800;3,00083762423692
p65;1200;3,66152561015978
p65;2000;4,05876118319002
p66;100;3,46370361268452
p66;220;,511772960301833
p66;370;1,22099244179751
p66;557;2,24363560465632
p66;800;2,67035547223787
p66;1200;3,60789943958544
p66;2000;1,95604131574068
p67;100;,602102798652845
p67;220;1,41632621939519
p67;370;2,7570751733363
p67;557;2,32634787404084
p67;800;3,23480574257823
p67;1200;2,5631031310892
p67;2000;4,05876118319002
p68;100;1,16646448721632
p68;220;1,02163360336562
p68;370;1,516110983769
p68;557;1,49717942142207
p68;800;3,11540743624982
p68;1200;2,67035547223787
p68;2000;3,66152561015978
p69;100;-,510649954687985
p69;220;,178929065082513
p69;370;1,9775921785238
p69;557;1,33918516783284
p69;800;1,87587943463909
p69;1200;2,11591947979292
p69;2000;2,32634787404084
p70;100;,393057402017661
p70;220;1,01805677692219
p70;370;2,67035547223787
p70;557;2,35041569320234
p70;800;2,60363447594799
p70;1200;2,71817186321957
p70;2000;3,11540743624982
p71;100;-,394156952335312
p71;220;-,0658270754712767
p71;370;,841621233572914
p71;557;2,35041569320234
p71;800;3,70934200114148
p71;1200;4,05876118319002
p71;2000;4,05876118319002
p72;100;,159112655340757
p72;220;,213981041666459
p72;370;1,59342252134856
p72;557;3,11540743624982
p72;800;3,06759104526812
p72;1200;3,01396487469378
p72;2000;2,66454569264524
